STATE,COUNTY,STNAME,CTYNAME,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016
1,0,Alabama,Alabama,4829479,4843214,4853875,4863300
1,1,Alabama,Autauga County,54792,54977,55035,55416
1,3,Alabama,Baldwin County,195147,199745,203690,208563
1,5,Alabama,Barbour County,26938,26763,26270,25965
1,7,Alabama,Bibb County,22501,22511,22561,22643
1,9,Alabama,Blount County,57746,57621,57676,57704
1,11,Alabama,Bullock County,10576,10712,10455,10362
1,13,Alabama,Butler County,20330,20283,20126,19998
1,15,Alabama,Calhoun County,116475,115837,115285,114611
1,17,Alabama,Chambers County,34123,33996,34043,33843
1,19,Alabama,Cherokee County,26074,25944,25726,25725
1,21,Alabama,Chilton County,43769,43874,43809,43941
1,23,Alabama,Choctaw County,13384,13310,13201,12993
1,25,Alabama,Clarke County,25105,24862,24726,24392
1,27,Alabama,Clay County,13464,13503,13495,13492
1,29,Alabama,Cleburne County,15031,15076,14996,14924
1,31,Alabama,Coffee County,50729,50757,51063,51226
1,33,Alabama,Colbert County,54456,54427,54295,54216
1,35,Alabama,Conecuh County,12866,12621,12597,12395
1,37,Alabama,Coosa County,11058,10794,10687,10581
1,39,Alabama,Covington County,37890,37795,37661,37458
1,41,Alabama,Crenshaw County,13874,13898,13876,13913
1,43,Alabama,Cullman County,80731,81167,81858,82471
1,45,Alabama,Dale County,49753,49389,49370,49226
1,47,Alabama,Dallas County,41950,41532,40893,40008
1,49,Alabama,DeKalb County,70882,70947,70996,70900
1,51,Alabama,Elmore County,80661,80794,81238,81799
1,53,Alabama,Escambia County,37877,37878,37827,37728
1,55,Alabama,Etowah County,103790,103371,102873,102564
1,57,Alabama,Fayette County,16858,16821,16723,16546
1,59,Alabama,Franklin County,31505,31540,31542,31628
1,61,Alabama,Geneva County,26754,26688,26755,26614
1,63,Alabama,Greene County,8702,8525,8450,8422
1,65,Alabama,Hale County,15293,15081,15075,14952
1,67,Alabama,Henry County,17188,17156,17191,17164
1,69,Alabama,Houston County,103614,104177,104225,104056
1,71,Alabama,Jackson County,52939,52580,52298,52138
1,73,Alabama,Jefferson County,658578,659733,660007,659521
1,75,Alabama,Lamar County,14192,14062,13902,13918
1,77,Alabama,Lauderdale County,92713,93005,92477,92318
1,79,Alabama,Lawrence County,33570,33432,33133,33244
1,81,Alabama,Lee County,151411,154277,156767,158991
1,83,Alabama,Limestone County,88904,90640,91622,92753
1,85,Alabama,Lowndes County,10685,10524,10422,10358
1,87,Alabama,Macon County,20016,19594,19215,18963
1,89,Alabama,Madison County,346704,350121,353302,356967
1,91,Alabama,Marengo County,20208,20086,19912,19673
1,93,Alabama,Marion County,30283,30250,30145,29998
1,95,Alabama,Marshall County,94318,94320,94693,95157
1,97,Alabama,Mobile County,413884,414342,414634,414836
1,99,Alabama,Monroe County,22154,21902,21697,21530
1,101,Alabama,Montgomery County,227841,227193,226868,226349
1,103,Alabama,Morgan County,119652,119602,119387,119012
1,105,Alabama,Perry County,9995,9842,9683,9574
1,107,Alabama,Pickens County,19370,20332,20827,20324
1,109,Alabama,Pike County,33592,33020,33376,33286
1,111,Alabama,Randolph County,22629,22468,22703,22652
1,113,Alabama,Russell County,59240,59282,58858,58172
1,115,Alabama,St. Clair County,86225,86482,86986,88019
1,117,Alabama,Shelby County,203825,205990,208527,210622
1,119,Alabama,Sumter County,13409,13283,13244,13040
1,121,Alabama,Talladega County,81277,81216,80749,80103
1,123,Alabama,Tallapoosa County,41139,41027,40755,40727
1,125,Alabama,Tuscaloosa County,200681,202671,204321,206102
1,127,Alabama,Walker County,65934,65564,65291,64967
1,129,Alabama,Washington County,16881,16891,16901,16756
1,131,Alabama,Wilcox County,11194,11028,11030,10986
1,133,Alabama,Winston County,24150,24083,23854,23805
2,0,Alaska,Alaska,736879,736705,737709,741894
2,13,Alaska,Aleutians East Borough,3302,3296,3317,3296
2,16,Alaska,Aleutians West Census Area,5715,5780,5739,5647
2,20,Alaska,Anchorage Municipality,301143,300429,298312,298192
2,50,Alaska,Bethel Census Area,17865,17959,17940,17968
2,60,Alaska,Bristol Bay Borough,954,942,892,898
2,68,Alaska,Denali Borough,1940,1907,1913,1953
2,70,Alaska,Dillingham Census Area,4994,4989,4999,4954
2,90,Alaska,Fairbanks North Star Borough,100879,99295,99639,100605
2,100,Alaska,Haines Borough,2551,2537,2484,2496
2,105,Alaska,Hoonah-Angoon Census Area,2128,2081,2118,2078
2,110,Alaska,Juneau City and Borough,32604,32511,32603,32468
2,122,Alaska,Kenai Peninsula Borough,57059,57626,58044,58506
2,130,Alaska,Ketchikan Gateway Borough,13673,13758,13689,13746
2,150,Alaska,Kodiak Island Borough,14066,13953,13789,13732
2,158,Alaska,Kusilvak Census Area,7950,8063,8109,8049
2,164,Alaska,Lake and Peninsula Borough,1654,1628,1567,1562
2,170,Alaska,Matanuska-Susitna Borough,95923,98196,101120,104365
2,180,Alaska,Nome Census Area,9897,9834,9875,9917
2,185,Alaska,North Slope Borough,9741,9708,9690,9606
2,188,Alaska,Northwest Arctic Borough,7714,7744,7764,7673
2,195,Alaska,Petersburg Borough,3245,3175,3149,3149
2,198,Alaska,Prince of Wales-Hyder Census Area,6394,6393,6360,6347
2,220,Alaska,Sitka City and Borough,9001,8883,8844,8830
2,230,Alaska,Skagway Municipality,1004,1031,1058,1088
2,240,Alaska,Southeast Fairbanks Census Area,7001,6968,6826,6876
2,261,Alaska,Valdez-Cordova Census Area,9764,9453,9308,9355
2,275,Alaska,Wrangell City and Borough,2417,2376,2400,2411
2,282,Alaska,Yakutat City and Borough,643,642,620,601
2,290,Alaska,Yukon-Koyukuk Census Area,5658,5548,5541,5526
4,0,Arizona,Arizona,6624617,6719993,6817565,6931071
4,1,Arizona,Apache County,72021,72034,71594,73112
4,3,Arizona,Cochise County,129554,127321,126395,125770
4,5,Arizona,Coconino County,136641,137695,139076,140908
4,7,Arizona,Gila County,53039,53124,53138,53556
4,9,Arizona,Graham County,37401,38013,37673,37599
4,11,Arizona,Greenlee County,8905,9315,9525,9613
4,12,Arizona,La Paz County,20379,20313,20147,20317
4,13,Arizona,Maricopa County,4011219,4083931,4161637,4242997
4,15,Arizona,Mohave County,202622,202985,204165,205249
4,17,Arizona,Navajo County,107443,108178,108363,110026
4,19,Arizona,Pima County,996634,1003157,1008205,1016206
4,21,Arizona,Pinal County,384978,396024,406220,418540
4,23,Arizona,Santa Cruz County,46903,46387,46137,45985
4,25,Arizona,Yavapai County,215027,218405,221584,225562
4,27,Arizona,Yuma County,201851,203111,203706,205631
5,0,Arkansas,Arkansas,2958663,2966912,2977853,2988248
